Question,Answer,Intent
My account details are incorrect.,"Sure, I can help with your account. What specific issue are you facing?",account_help
Can you explain my recent bill?,I can help with billing issues. Could you provide more details?,billing_issue
My app is crashing.,I'm here to help with technical issues. Could you describe the problem?,technical_support
Catch you later.,Goodbye! Have a great day!,goodbye
Can you guide me on changing my password?,"To reset your password, click on 'Forgot Password' on the login page and follow the instructions.",reset_password
Hello!,Hello! How can I assist you today?,greeting
Can you assist me with my account?,"Sure, I can help with your account. What specific issue are you facing?",account_help
I need help with my invoice.,I can help with billing issues. Could you provide more details?,billing_issue
I need technical assistance.,I'm here to help with technical issues. Could you describe the problem?,technical_support
See you later.,Goodbye! Have a great day!,goodbye
I need to recover my account password.,"To reset your password, click on 'Forgot Password' on the login page and follow the instructions.",reset_password
Good afternoon!,Hello! How can I assist you today?,greeting
How can I update my profile information?,"Sure, I can help with your account. What specific issue are you facing?",account_help
There seems to be an error on my bill.,I can help with billing issues. Could you provide more details?,billing_issue
I need technical assistance.,I'm here to help with technical issues. Could you describe the problem?,technical_support
"Thanks for your help, bye!",Goodbye! Have a great day!,goodbye
What should I do if I can't log in?,"To reset your password, click on 'Forgot Password' on the login page and follow the instructions.",reset_password
Hi there!,Hello! How can I assist you today?,greeting
How do I change my account settings?,"Sure, I can help with your account. What specific issue are you facing?",account_help
I have a problem with my bill.,I can help with billing issues. Could you provide more details?,billing_issue
My app is crashing.,I'm here to help with technical issues. Could you describe the problem?,technical_support
"Thanks for your help, bye!",Goodbye! Have a great day!,goodbye
Can you guide me on changing my password?,"To reset your password, click on 'Forgot Password' on the login page and follow the instructions.",reset_password
Hey! How are you?,Hello! How can I assist you today?,greeting
How do I change my account settings?,"Sure, I can help with your account. What specific issue are you facing?",account_help
I have a problem with my bill.,I can help with billing issues. Could you provide more details?,billing_issue
I'm having technical difficulties.,I'm here to help with technical issues. Could you describe the problem?,technical_support
Goodbye.,Goodbye! Have a great day!,goodbye
Can you guide me on changing my password?,"To reset your password, click on 'Forgot Password' on the login page and follow the instructions.",reset_password
Good afternoon!,Hello! How can I assist you today?,greeting
How do I change my account settings?,"Sure, I can help with your account. What specific issue are you facing?",account_help
There seems to be an error on my bill.,I can help with billing issues. Could you provide more details?,billing_issue
I need technical assistance.,I'm here to help with technical issues. Could you describe the problem?,technical_support
